RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,2
@sprintcare So are we getting any kind of credit to our account for the major inconvenience we’ve been having for t… https://t.co/wRGo1lRly0,1
RT @asiaamonel: It’s up BITCH 😤 @sprint,1
@sprintcare @ksanders842 We have no choice,1
This is weird y’all. Every major cell network is having issues tonight! what could cause a major problem like this?… https://t.co/nx0t9li5Y6,1
@schrep007 @sprintcare Try calling this exactly to reset your network connection ##873283#,1
@sprintcare When will it be fixed?,2
@sprintcare Service has been out since 4pm. About 5 hours now in Valparaiso IN,1
@sprint https://t.co/9rZEfwotfR,2
@sprintcare Try calling this exactly to reset your network connection ##873283#,2
Can’t wait to leave @sprint  @sprintcare  @sprintbusiness signal suck assssssss!,1
@sprintcare Ok I’m gone need to be credited for my next bill because this is UNACCEPTABLE!!!,1
@sprint boyfriend couldn't call me to ask what I wanted for dinner... Let's just say he made a horrible decision,1
"@WhoDeyFans @sprint @verizon We had same issue today , usually sprint is good . My wife has Verizon before and had nothing but problems",1
"Awesome work, Daniel!!  Nothing but #Treats today for @sprint customers!",1
@imjameswiley @sprintcare Try calling this exactly to reset your network connection ##873283#,1
@CeciliaGlennon @nourishMINT @sprintcare Try calling this exactly to reset your network connection ##873283#,1
@smith62213 @sprintcare Try calling this exactly to reset your network connection ##873283#,1
It's been a horrible week with @sprint I still dont have my new phone and now they have the wrong phone listed as m… https://t.co/BHPAEfHpLb,1
@sprintcare Awesome thanks!,3
@sprintcare @TravisPerk8 This is such an inconvenience!!!,1
@sprintcare @fox32news Fix it WTF,2
@sprint fix your issues plz,2
@sprintcare Are we getting a credit for this poor service? Although my service has been terrible for months now. Considering switching,1
@sprintcare In Cincinnati and still no outbound calls. Hope my children made it home okay today...,2
@sprintcare Working now. My guess is it has do do with the voice issues in the midwest.,3
@Thee_Counselor @sprint You’ve been having problems with receiving calls too?,1
@sprint I wanna know why Tallahassee Florida wasn’t included in the hurricane Michael discount . I’d be wrong if I… https://t.co/G9dmAoEIF8,1
Okay @sprint we need to have a talk about this “service” I pay for.,2
@sprint I still don’t have WiFi and y’all didn’t give me no type of break,1
"RT @schrep007: @sprintcare No maybe be experiencing, this is going on for 4 hours now and ever time I turn around my experience just keeps…",1
RT @Thee_Counselor: Really @Sprint why is shit always messed up with our service?? Smh tired of it,1
RT @queenkami_: @sprintcare we should all really be credited for this... it’s been entirely too long. PEOPLE’S SAFETY IS AT RISK.,1
RT @lisavaldez24: @sprintcare You should be notifying your customers by text or voicemail that you are aware of the outage and an estimated…,1
@BengalsReds513 @Thee_Counselor @sprint Couldn’t even call my wife,1
@sprintcare I pay $96.50 a month and my service sucks really really bad. I mostly all the Time have to be connected… https://t.co/E83l8eKZjG,1
How is @sprintcare allowing data to work but not calls wtf,2
@Team_Shea @BengalsReds513 @sprint Lol its sad,1
"@sprint @sprintcare is there an outage in Charlottesville, Va?  #Sprintoutage I have data, I can FaceTime, but no cell service.",1
@BigBootyBanki @sprintcare Yeah if you call them crock of shit!,1
@BengalsReds513 @sprint Yea man,2
"October 31, 2019 - ⁦@sprint⁩ : Fiscal 2Q Earnings Snapshot #VenusRetrograde  https://t.co/TBQMMpm1ET",1
"@Thee_Counselor @Team_Shea @sprint Yea, thought it was just me.",1
@sprint I can’t make calls. What’s up?,1
@sprintcare this is so ridiculous this is happening way to much. I really hope your giving a credit  not happy,1
RT @lisavaldez24: @sprintcare You should be notifying your customers by text or voicemail that you are aware of the outage and an estimated…,1
Missed taking my niece and nephew trick or treating because I couldn't make or receive calls. When you pay over 250… https://t.co/V810dYlrXm,1
@sprintcare I need some off on my bill this shit is horrible . Everyone day worse and worse service .,1
@sprintcare Please fix. Then compen$ate for inconvenience.  Thank you,2
