Market at Sansome,Temporary Transbay Terminal (Howard at Beale),350
San Francisco Caltrain 2 (330 Townsend),5th at Howard,355
San Francisco Caltrain (Townsend at 4th),Temporary Transbay Terminal (Howard at Beale),515
San Francisco Caltrain 2 (330 Townsend),Townsend at 7th,220
San Francisco Caltrain (Townsend at 4th),Clay at Battery,1280
Civic Center BART (7th at Market),San Francisco Caltrain 2 (330 Townsend),451
Mechanics Plaza (Market at Battery),Golden Gate at Polk,809
2nd at Folsom,Market at Sansome,226
Temporary Transbay Terminal (Howard at Beale),Beale at Market,178
Harry Bridges Plaza (Ferry Building),Powell at Post (Union Square),591
Spear at Folsom,Howard at 2nd,269
Townsend at 7th,2nd at Townsend,389
Embarcadero at Sansome,San Francisco Caltrain 2 (330 Townsend),1244
Embarcadero at Folsom,San Francisco Caltrain 2 (330 Townsend),437
Embarcadero at Sansome,San Francisco Caltrain 2 (330 Townsend),1283
Market at 4th,San Francisco Caltrain (Townsend at 4th),537
Temporary Transbay Terminal (Howard at Beale),Steuart at Market,241
Yerba Buena Center of the Arts (3rd @ Howard),Golden Gate at Polk,1152
5th at Howard,San Francisco Caltrain 2 (330 Townsend),331
Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),176
Commercial at Montgomery,Yerba Buena Center of the Arts (3rd @ Howard),296
2nd at Townsend,2nd at Folsom,305
Market at Sansome,Harry Bridges Plaza (Ferry Building),267
Castro Street and El Camino Real,Mountain View Caltrain Station,399
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain 2 (330 Townsend),534
Davis at Jackson,Powell at Post (Union Square),599
Yerba Buena Center of the Arts (3rd @ Howard),Steuart at Market,667
Powell Street BART,Mechanics Plaza (Market at Battery),353
Embarcadero at Sansome,Harry Bridges Plaza (Ferry Building),456
2nd at Folsom,San Francisco Caltrain 2 (330 Townsend),461
Broadway St at Battery St,San Francisco Caltrain (Townsend at 4th),990
Broadway St at Battery St,Temporary Transbay Terminal (Howard at Beale),356
Market at Sansome,San Francisco Caltrain 2 (330 Townsend),446
Howard at 2nd,San Francisco Caltrain 2 (330 Townsend),523
Powell at Post (Union Square),Howard at 2nd,516
South Van Ness at Market,San Francisco Caltrain 2 (330 Townsend),763
San Francisco City Hall,Market at 4th,434
2nd at Folsom,Clay at Battery,399
Santa Clara at Almaden,San Jose Diridon Caltrain Station,231
Embarcadero at Vallejo,Mechanics Plaza (Market at Battery),1058
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain 2 (330 Townsend),829
Redwood City Medical Center,Redwood City Caltrain Station,469
Davis at Jackson,San Francisco Caltrain 2 (330 Townsend),969
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain (Townsend at 4th),384
San Francisco Caltrain (Townsend at 4th),Embarcadero at Sansome,1139
Powell Street BART,Steuart at Market,504
San Francisco Caltrain 2 (330 Townsend),5th at Howard,394
Steuart at Market,San Francisco Caltrain (Townsend at 4th),794
San Francisco Caltrain (Townsend at 4th),Market at Sansome,702
Townsend at 7th,2nd at Townsend,419
Mechanics Plaza (Market at Battery),Embarcadero at Sansome,720
Steuart at Market,Golden Gate at Polk,872
Adobe on Almaden,San Jose Diridon Caltrain Station,253
2nd at Townsend,Harry Bridges Plaza (Ferry Building),570
Market at 10th,Powell Street BART,469
Market at 10th,San Francisco Caltrain 2 (330 Townsend),500
Mountain View Caltrain Station,Mountain View City Hall,264
San Antonio Shopping Center,San Antonio Caltrain Station,153
San Jose Diridon Caltrain Station,Santa Clara at Almaden,290
Santa Clara at Almaden,San Jose Diridon Caltrain Station,296
Embarcadero at Folsom,San Francisco Caltrain (Townsend at 4th),618
Market at 4th,Temporary Transbay Terminal (Howard at Beale),293
2nd at Folsom,Market at Sansome,283
Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain (Townsend at 4th),325
Commercial at Montgomery,Townsend at 7th,1116
Powell at Post (Union Square),South Van Ness at Market,772
Broadway St at Battery St,Temporary Transbay Terminal (Howard at Beale),357
2nd at Folsom,2nd at Townsend,263
Broadway St at Battery St,Beale at Market,250
2nd at Townsend,Davis at Jackson,570
Cowper at University,Palo Alto Caltrain Station,227
Embarcadero at Sansome,Steuart at Market,309
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th),579
Market at Sansome,Golden Gate at Polk,701
2nd at Folsom,Temporary Transbay Terminal (Howard at Beale),278
Steuart at Market,Golden Gate at Polk,860
Powell Street BART,San Francisco Caltrain 2 (330 Townsend),563
5th at Howard,San Francisco Caltrain 2 (330 Townsend),485
Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),207
Howard at 2nd,Embarcadero at Sansome,547
Steuart at Market,Townsend at 7th,979
