id,name,Gender
628,Spider-Woman IV,Female
629,Spock,Male
630,Spyke,Male
631,Stacy X,Female
632,Star-Lord,Male
633,Stardust,Male
634,Starfire,Female
635,Stargirl,Female
636,Static,Male
637,Steel,Male
638,Stephanie Powell,Female
639,Steppenwolf,Male
640,Storm,Female
641,Stormtrooper,Male
642,Sunspot,Male
643,Superboy,Male
644,Superboy-Prime,Male
645,Supergirl,Female
646,Superman,Male
647,Swamp Thing,Male
648,Swarm,Male
649,Sylar,Male
650,Synch,Male
651,T-1000,Male
652,T-800,Male
653,T-850,Male
654,T-X,Female
655,Taskmaster,Male
656,Tempest,Female
657,Thanos,Male
658,The Cape,Male
659,The Comedian,Male
660,Thing,Male
661,Thor,Male
662,Thor Girl,Female
663,Thunderbird,Male
664,Thunderbird II,Male
665,Thunderbird III,Male
666,Thunderstrike,Male
667,Thundra,Female
668,Tiger Shark,Male
669,Tigra,Female
670,Tinkerer,Male
671,Titan,Male
672,Toad,Male
673,Toxin,Male
674,Toxin,Male
675,Tracy Strauss,Female
676,Trickster,Male
677,Trigon,Male
678,Triplicate Girl,Female
679,Triton,Male
680,Two-Face,Male
681,Ultragirl,Female
682,Ultron,Male
683,Utgard-Loki,Male
684,Vagabond,Female
685,Valerie Hart,Female
686,Valkyrie,Female
687,Vanisher,Male
688,Vegeta,Male
689,Venom,Male
690,Venom II,Male
691,Venom III,Male
692,Venompool,Male
693,Vertigo II,Female
694,Vibe,Male
695,Vindicator,Female
696,Vindicator,Male
697,Violator,Male
698,Violet Parr,Female
699,Vision,Male
700,Vision II,-
701,Vixen,Female
702,Vulcan,Male
703,Vulture,Male
704,Walrus,Male
705,War Machine,Male
706,Warbird,Female
707,Warlock,Male
708,Warp,Male
709,Warpath,Male
710,Wasp,Female
711,Watcher,Male
712,Weapon XI,Male
713,White Canary,Female
714,White Queen,Female
715,Wildfire,Male
716,Winter Soldier,Male
717,Wiz Kid,-
718,Wolfsbane,Female
719,Wolverine,Male
720,Wonder Girl,Female
721,Wonder Man,Male
722,Wonder Woman,Female
723,Wondra,Female
724,Wyatt Wingfoot,Male
725,X-23,Female
726,X-Man,Male
727,Yellow Claw,Male
728,Yellowjacket,Male
729,Yellowjacket II,Female
730,Ymir,Male
731,Yoda,Male
732,Zatanna,Female
733,Zoom,Male
